,Puestos de trabajo asalariado (cantidad) según actividad principal,,,,,,,,,,
,Total,Minas y canteras,Industria manufacturera,,,,,Total Servicios,Servicios,,
year,Total,Minas y canteras,Total Manufactura,"    Alimentos, bebidas y tabaco","    Combustibles, químicos y plásticos","    Maquinarias, equipos y vehículos",    Resto industria (1),Total Servicios,"Electricidad, gas y agua",Comunicaciones,Resto actividades (2)
1993,"610,258","8,703","293,052","110,921","54,652","47,257","80,222","308,503","54,362","71,426","182,715"
1994,"563,998","9,580","276,471","104,346","49,449","47,084","75,592","277,947","43,995","61,535","172,417"
1995,"545,925","10,864","266,714","102,473","49,789","41,925","72,527","268,347","36,416","59,636","172,295"
1996,"540,843","11,410","257,414","101,656","48,135","37,116","70,507","272,019","34,788","58,127","179,104"
1997,"547,581","11,918","266,473","105,406","48,123","41,675","71,269","269,190","32,286","59,370","177,534"
1998,"570,576","10,462","265,025","106,146","48,642","42,359","67,878","295,089","30,377","58,865","205,847"
1999,"561,354","9,649","244,677","104,415","47,277","32,882","60,103","307,028","31,431","56,322","219,275"
2000,"551,398","9,423","236,615","101,742","46,528","30,995","57,350","305,360","31,954","58,488","214,918"
2001,"537,530","9,795","224,788","97,829","46,231","28,291","52,437","302,947","31,106","58,128","213,713"
2002,"506,470","13,168","215,744","96,994","45,350","21,221","52,179","277,558","31,255","52,614","193,689"
2003,"503,532","16,746","215,312","100,667","42,431","18,546","53,668","271,474","29,544","54,287","187,643"
2004,"536,407",18315,230361,107749,41785,23412,57415,287731,30290,56424,201017
2005,"561,995",23178,247003,110974,45967,30584,59478,291814,28738,57832,205244
2006,"597,664",23672,262281,116396,47840,37149,60896,311711,29790,62586,219335
2007,"644,358",27325,277924,122478,48945,42851,63650,339109,30617,63955,244537
2008,"691,856",29568,290780,127287,51685,48317,63491,371508,31930,65493,274085
2009,"698,965",28913,281977,129729,49852,44040,58356,388076,35518,69139,283419
2010,"730,924",29301,290594,130402,51127,49988,59077,411030,43186,53511,314333
2011,"772,752",31514,305472,131402,52981,59804,61285,435766,42415,54506,338845
2012,"794,878","35,400",316631,134723,60213,61378,60317,442847,43845,63643,335359
2013,"817,270","38,724",326900,135498,66971,63020,61411,451646,44956,66981,339709
2014,"822,951","44,203",328967,139419,68983,58662,61903,449781,44772,66468,338541
2015,"842,452",49383,325849,139551,66427,59569,60302,467220,45080,69528,352612
2016,834861,42209,315821,"137,543",64165,"55,187",58926,476831,"51,300","67,784","357,747"