"Valor agregado  bruto (millones de pesos) según actividad principal  [VAB es la producción, que a nivel país se llama PBI]",,,,,,,,,,,
Años,Total,Minas y canteras,Industria manufacturera,,,,,Total Servicios,Servicios,,
year,Total,Minas y canteras,Total Manufactura,"    Alimentos, bebidas y tabaco","    Combustibles, químicos y plásticos","    Maquinarias, equipos y vehículos",    Resto industria (1),Total Servicios,"Electricidad, gas y agua",Comunicaciones,Resto actividades (2)
1993,"30,523","2,450.60","16,287.60","5,636","5,624","2,289","  2,738   ","11,785","3,076.20","3,651.60","5,056.80"
1994,"34,133.20","2,797.00","17,944.20","6,025.80","6,227.90","2,530.50","3,160.10","13,391.90","3,329.30","4,299.30","5,763.30"
1995,"35,178.10","3,560.80","16,987.20","6,038.50","6,352.10","1,471.30","3,125.30","14,630.10","3,789.70","4,812.20","6,028.20"
1996,"37,830.40","4,615.50","17,854.30","6,031.00","6,624.80","1,917.30","3,281.30","15,360.60","3,567.60","5,136.10","6,656.90"
1997,"41,503.20","4,884.90","20,352.40","6,089.40","8,075.50","2,381.10","3,806.40","16,266.00","3,711.60","5,636.50","6,917.90"
1998,"42,635.90","3,417.20","20,721.50","6,317.80","8,216.70","2,525.20","3,661.80","18,497.20","3,975.10","6,690.10","7,832.00"
1999,"41,743.70","4,770.20","18,108.10","6,271.30","7,731.20","1,316.90","2,788.70","18,865.40","4,270.00","6,440.30","8,155.10"
2000,"44,572.50","7,163.90","19,314.40","6,453.40","8,089.90","1,680.00","3,091.10","18,094.20","4,425.50","5,924.70","7,744.00"
2001,"41,675.80","5,966.50","18,134.20","5,891.80","8,455.30",970.70,"2,816.40","17,575.00","4,276.40","5,933.50","7,365.10"
2002,73179,17972,35311,12449,13821,1987,7053,19896,4517,6164,9215
2003,86305,21085,42403,15627,17368,1833,7575,"22,818.00",4978,7432,10408
2004,"102,721.40","24,455.20","52,429.30","17,963.80","20,152.10","3,155.90","11,157.50","25,837","5,608.10","8,250","11,979"
2005,121090,29352,61123,20731,23481,4623,12289,30614,6359,10408,13847
2006,146822,35582,72311,24198,26992,6503,14618,38929,7707,13435,17787
2007,177036,36103,91387,34685,31146,9054,16502,49546,9092,16791,23663
2008,214722,37639,115210,42605,42983,10659,18964,61872,10006,20252,31614
2009,230437,43746,112350,48250,38714,8992,16394,74341,11865,25630,36846
2010,304227,57199,148090,61661,49688,15065,21677,98937,14707,30468,53762
2011,387151,65112,193349,81319,66263,21283,24483,128691,17852,36557,74282
2012,469456,78105,236736,95977,85188,28272,27299,154615,20122,45730,88763
2013,585038,91848,298184,117475,105007,39421,36280,195006,26134,56025,112847
2014,806579,133899,418911,169609,156136,39830,53336,253769,33924,72790,147055
2015,1003364,138500,521252,207370,183376,66772,63735,343612,43560,99369,200683
2016,"1,324,396", 194.422, 664.423, 276.573 ,228773,"82,405",76672,465550,79230,"129,324",256996