year,unidad,gcia_tot,stock_tot,tg_tot,gcia_enge_ms,gcia_enge_me,stock_enge_ms,stock_enge_jk,tg_enge_ms_ms,tg_enge_ms_jk,gcia_sin_enge_ms,gcia_sin_enge_me,stock_sin_enge_ms,stock_sin_enge_jk,tg_sin_enge_ms_ms,tg_sin_enge_ms_jk
1993,Millones de pesos corrientes,55353.87092321717,661681.7382849306,0.08365633766271621,5861.0,7615.721720805368,,330387.4774806204,,0.017739776473046833,49492.87092321717,47738.1492024118,,331294.2608043102,,0.14939247906999437
1994,Millones de pesos corrientes,77516.67998228477,688989.9631130089,0.1125077056740381,8097.7,9261.823421491785,,352599.4428762039,,0.022965719780910335,69418.97998228477,68254.85656079298,,336390.52023680496,,0.20636425762954524
1995,Millones de pesos corrientes,80351.09124226368,735334.9709542183,0.10927141291538861,7638.1,8192.476195465995,110611.6,389315.5797688744,0.06905333617812237,0.01961930217263466,72712.99124226367,72158.61504679768,624723.3709542183,346019.3911853439,0.11639230197391208,0.21014137673953437
1996,Millones de pesos corrientes,98597.45745083585,741016.07090932,0.13305711079902,8896.3,9115.394013936431,113581.40000000001,420741.80251295946,0.07832532439290235,0.021144321640647962,89701.15745083585,89482.06343689942,627434.67090932,320274.26839636057,0.14296493580891054,0.2800760669908853
1997,Millones de pesos corrientes,113183.36211206958,760287.1609651503,0.14886922721197657,10000.5,11020.258267314703,126510.19999999998,478798.9416135037,0.0790489620599762,0.020886637648569843,103182.86211206958,102163.10384475488,633776.9609651504,281488.21935164667,0.16280626855690217,0.36656191989039977
1998,Millones de pesos corrientes,115651.77559814762,783293.6812298691,0.14764803849376118,8867.6,11020.69224818402,135827.2,520968.04705147224,0.06528589266361966,0.01702138941186132,106784.17559814762,104631.0833499636,647466.4812298692,262325.6341783969,0.16492618335285864,0.40706725414996264
1999,Millones de pesos corrientes,107434.11366738027,786166.1628757595,0.13665573353397867,6254.1,8914.647506078662,142142.3,557398.3602211113,0.04399886592520313,0.011220162179018781,101180.01366738026,98519.4661613016,644023.8628757596,228767.8026546482,0.15710600103477715,0.4422825786377087
2000,Millones de pesos corrientes,113074.87696987006,775130.427722127,0.14587851660289328,7581.6,9965.955927962084,54525.0,599169.6648361005,0.13904814305364513,0.012653511092010815,105493.27696987006,103108.92104190798,720605.427722127,175960.7628860264,0.14639534051712608,0.5995272766474667
2001,Millones de pesos corrientes,108361.18394124841,760060.9838618665,0.14256906516983112,5356.3,9079.356241969519,146752.2,587944.3264933985,0.036498941753513744,0.009110216322599621,103004.88394124841,99281.82769927889,613308.7838618665,172116.657368468,0.1679494679542171,0.5984597046916567
2002,Millones de pesos corrientes,130480.44875281266,1108441.1735012117,0.11771526705442256,20342.7,23344.564443519623,225089.0,867737.1626596281,0.09037625117175872,0.02344338916826992,110137.74875281267,107135.88430929303,883352.1735012117,240704.0108415836,0.12468158460093673,0.45756507491393017
2003,Millones de pesos corrientes,160261.38942339056,1237620.520960541,0.12949154180071984,19350.8,28891.893265402843,281459.0,1149043.3558796204,0.06875175425195143,0.016840791864799996,140910.58942339057,131369.4961579877,956161.520960541,88577.16508092056,0.14737111495747557,1.5908229767193416
2004,Millones de pesos corrientes,178162.28093078893,1412924.8525313274,0.12609466144756534,32422.0,34914.89403159145,,1194087.8161198527,,0.02715210687380948,145740.28093078893,143247.38689919747,,218837.0364114747,,0.6659763051111537
2005,Millones de pesos corrientes,212111.50956980756,1665215.6394989763,0.12737780293345483,40838.6,,,1357256.4126432305,,0.030089082372038764,171272.90956980755,,,307959.2268557458,,0.5561544991474965
2006,Millones de pesos corrientes,255942.18118052345,1980076.6566371142,0.1292587235562919,53702.0,,,1536403.2823673922,,0.03495306253007504,202240.18118052345,,,443673.37426972203,,0.45583123285999966
2007,Millones de pesos corrientes,313389.41132563236,2351794.4532170244,0.13325544283725405,63293.7,,,1875428.4401584773,,0.03374892832202735,250095.71132563235,,,476366.01305854716,,0.5250074616362159
2008,Millones de pesos corrientes,396116.96261796023,2913605.961077091,0.13595419830604863,63942.3,,,2514029.116775708,,0.02543419229845964,332174.66261796025,,,399576.844301383,,0.8313160969042933
2009,Millones de pesos corrientes,344386.94552427245,3389569.0090368586,0.10160198674406973,72425.0,76290.20000000001,,2412574.313755201,,0.03001980066979558,271961.94552427245,268096.74552427244,,976994.6952816574,,0.2783658364141564
2010,Millones de pesos corrientes,505735.6719748884,4109595.016313944,0.12306216791855623,101401.2,102184.12,,3102617.924370928,,0.03268246444510554,404334.4719748884,403551.5519748884,,1006977.0919430158,,0.4015329397361995
2011,Millones de pesos corrientes,653300.0858770625,5222286.879607585,0.12509846757521545,116816.6,132320.63999999998,,4139688.3585216063,,0.028218694230818464,536483.4858770625,520979.4458770625,,1082598.521085979,,0.4955516522772485
2012,Millones de pesos corrientes,706599.4501768127,6437824.346957428,0.1097574913659702,87871.0,156746.0,758475.0,5991680.518042025,0.11585220343452322,0.01466550156260913,618728.4501768127,549853.4501768127,5679349.346957428,446143.8289154032,0.10894354482847252,1.386836284794011
2013,Millones de pesos corrientes,844919.935769607,8488744.920523278,0.09953414122820914,110448.0,196313.0,997487.0,7250861.362740153,0.11072625507901356,0.01523239715595126,734471.935769607,648606.935769607,7491257.920523278,1237883.557783125,0.09804387241259245,0.593328775676561
2014,Millones de pesos corrientes,1253365.2780617075,12148916.43216553,0.10316683673478003,164190.0,287824.2285012285,1324006.0,9761279.907517124,0.12401001203922037,0.016820540088555182,1089175.2780617075,965541.049560479,10824910.43216553,2387636.5246484056,0.10061748638818228,0.4561729839604022
2015,Millones de pesos corrientes,1580130.3770166594,15474672.483953435,0.10211074765266832,227670.0,346948.7931034483,2042061.0,10887344.11281422,0.11149030317899417,0.020911436034435273,1352460.3770166594,1233181.583913211,13432611.483953435,4587328.371139215,0.10068484290134537,0.2948252812084586
2016,Millones de pesos corrientes,2273617.555849204,21123117.67134969,0.10763645742186163,219211.0,436210.33415536373,,,,,2054406.5558492038,1837407.22169384,,,,
2017,Millones de pesos corrientes,2888442.924714994,27115755.957918596,0.10652267741299995,238139.0,509089.03668099496,3210434.5148970005,20445306.873552136,0.07417656360688614,0.011647611917630567,2650303.924714994,2379353.888033999,23905321.443021595,6670449.084366459,0.11086669263293536,0.3973201640840817
2018,Millones de pesos corrientes,4480742.76308437,39384768.29235151,0.11376841752181964,606744.0,913199.8233246799,7324762.11854994,32557104.33802677,0.08283463547074416,0.018636301118810546,3873998.7630843697,3567542.93975969,32060006.173801567,6827663.954324737,0.12083587077566067,0.5673973981438447
2019,Millones de pesos corrientes,6351657.563333066,61068309.00445936,0.10400906242334715,672530.0,1340978.306088988,11417250.3986,50598883.74711079,0.05890472543918863,0.013291399932086478,5679127.563333066,5010679.257244078,49651058.605859354,10469425.257348567,0.11438079514910622,0.5424488378048111
2020,Millones de pesos corrientes,7474512.697814911,87738242.57117131,0.08519104644422017,279116.0,1607956.988251133,15332352.194859,68946129.62906457,0.018204382240422885,0.004048320065269295,7195396.697814911,5866555.709563778,72405890.37631232,18792112.94210674,0.09937584719169332,0.38289450047378504
2021,Millones de pesos corrientes,13217551.212249678,141102311.91236323,0.0936735269118689,1183751.0,2597789.399638006,21717771.016273998,92666645.68149722,0.054506100055708655,0.012774294259756075,12033800.212249678,10619761.812611671,119384540.89608923,48435666.230866015,0.10079864714413689,0.24844915221958982
